name,code,childrenUrl,comment,url
"AMIGO - Populatia ocupata pe activitati, grupe de varsta si medii de rezidenta",AMG110P,matrix,,matrix
"AMIGO - Populatia ocupata pe activitati, dupa statutul profesional si sexe",AMG110S,matrix,,matrix
"AMIGO - Populatia ocupata pe activitati, dupa statutul profesional si medii de rezidenta",AMG110T,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de ocupatii, grupe de varsta si sexe",AMG110U,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de ocupatii, grupe de varsta si medii de rezidenta",AMG110V,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de ocupatii, nivel de educatie si sexe",AMG110W,matrix,,matrix
"AMIGO - Populatia ocupata pe grupe de ocupatii, nivel de educatie si medii de rezidenta",AMG110X,matrix,,matrix
AMIGO-Populatia ocupata pe grupe de varsta si sexe (date comparabile),AMG111A,matrix,,matrix
AMIGO-Populatia ocupata pe grupe de varsta si medii de rezidenta (date comparabile),AMG111B,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata obisnuita a saptamanii de lucru, statut profesional si sexe",AMG115A,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata obisnuita a saptamanii de lucru, statut profesional si medii de rezidenta",AMG115B,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata efectiva a saptamanii de lucru, statut profesional si sexe",AMG115E,matrix,,matrix
"AMIGO - Populatia ocupata cu program de lucru partial, dupa durata efectiva a saptamanii de lucru, statut profesional si medii de rezidenta",AMG115F,matrix,,matrix
AMIGO - Salariati cu regim de lucru temporar dupa durata obisnuita a saptamanii de lucru si sexe,AMG115K,matrix,,matrix
AMIGO - Salariati cu regim de lucru temporar dupa durata obisnuita a saptamanii de lucru si medii de rezidenta,AMG115L,matrix,,matrix
AMIGO - Salariati  cu regim de lucru permanent dupa durata efectiva a saptamanii de lucru si sexe,AMG115X,matrix,,matrix
AMIGO - Salariati  cu regim de lucru permanent dupa durata efectiva a saptamanii de lucru si medii de rezidenta,AMG115Z,matrix,,matrix
